"","Tm","roster"
"1","ATL","/players/b/beatyze01.html, /players/b/bridgbi01.html, /players/c/caldwjo01.html, /players/d/davisji01.html, /players/g/gueriri01.html, /players/h/hamilde01.html, /players/h/harlisk01.html, /players/a/abdulma01.html, /players/h/hudsolo01.html, /players/l/lehmage01.html, /players/o/ohldo01.html, /players/s/silaspa01.html, /players/w/walledw01.html"
"2","BAL","/players/b/barnhjo01.html, /players/e/ellisle01.html, /players/f/ferrybo01.html, /players/j/johnsgu01.html, /players/l/loughke01.html, /players/m/mannied01.html, /players/m/marinja01.html, /players/m/monroea01.html, /players/o/ormsba01.html, /players/q/quickbo01.html, /players/s/scottra01.html, /players/u/unselwe01.html, /players/w/workmto01.html"
"3","BOS","/players/b/barneji01.html, /players/b/bryanem01.html, /players/c/chanedo01.html, /players/g/grahama01.html, /players/h/havlijo01.html, /players/h/howelba01.html, /players/j/johnsri01.html, /players/j/jonessa01.html, /players/n/nelsodo01.html, /players/o/olsenbu01.html, /players/r/russebi01.html, /players/s/sandeto01.html, /players/s/siegfla01.html"
"4","CHI","/players/b/barneji01.html, /players/b/boerwto01.html, /players/b/boozebo01.html, /players/c/clemeba01.html, /players/h/haskicl01.html, /players/l/lovebo01.html, /players/m/mueller01.html, /players/n/newmada01.html, /players/p/peterlo01.html, /players/r/robinfl01.html, /players/s/sloanje01.html, /players/w/washiji01.html, /players/w/weissbo01.html, /players/w/wilbuke01.html"
"5","CIN","/players/a/abdulza01.html, /players/d/dierkco01.html, /players/d/dinwibi01.html, /players/f/fostefr01.html, /players/f/frinkpa01.html, /players/h/hetzefr01.html, /players/l/lucasje01.html, /players/r/roberos01.html, /players/s/simsdo01.html, /players/s/smithad01.html, /players/t/tresvjo01.html, /players/t/tuckeal01.html, /players/v/vanarto01.html, /players/w/weslewa01.html"
"6","DET","/players/b/bellawa01.html, /players/b/bingda01.html, /players/d/debusda01.html, /players/d/dischte01.html, /players/d/doveso01.html, /players/f/foxji01.html, /players/g/gambeda01.html, /players/h/hairsha01.html, /players/k/komivho01.html, /players/m/mclemmc01.html, /players/m/milesed01.html, /players/m/mooreot01.html, /players/n/niemari01.html, /players/o/olsenbu01.html, /players/w/walkeji01.html, /players/w/willicl01.html"
"7","LAL","/players/a/andercl01.html, /players/b/bayloel01.html, /players/c/cartyja01.html, /players/c/chambwi01.html, /players/c/countme01.html, /players/c/crawffr01.html, /players/e/eganjo01.html, /players/e/erickke01.html, /players/h/hawkito01.html, /players/h/hewitbi01.html, /players/w/westje01.html"
"8","MIL","/players/a/abdulza01.html, /players/c/chapple01.html, /players/c/cunnidi01.html, /players/e/embrywa01.html, /players/g/gambeda01.html, /players/h/hetzefr01.html, /players/l/lovebo01.html, /players/m/mcglojo01.html, /players/m/milleja01.html, /players/n/niemari01.html, /players/p/paulkch01.html, /players/r/robinfl01.html, /players/r/rodgegu01.html, /players/s/smithgr01.html, /players/w/warlibo01.html, /players/w/weissbo01.html, /players/w/willisa01.html"
"9","NYK","/players/b/barnedi01.html, /players/b/bellawa01.html, /players/b/bowmana01.html, /players/b/bradlbi01.html, /players/d/debusda01.html, /players/f/fraziwa01.html, /players/h/hoskebi01.html, /players/j/jacksph01.html, /players/k/komivho01.html, /players/m/maydo01.html, /players/r/reedwi01.html, /players/r/riordmi01.html, /players/r/russeca01.html"
"10","PHI","/players/c/clarkar01.html, /players/c/cunnibi01.html, /players/g/greenjo01.html, /players/g/greerha01.html, /players/g/guokama02.html, /players/h/halimsh01.html, /players/i/imhofda01.html, /players/j/jackslu01.html, /players/j/joneswa02.html, /players/r/raymocr01.html, /players/w/walkech01.html, /players/w/wilsoge01.html"
"11","PHO","/players/b/biedeed01.html, /players/f/foxji01.html, /players/g/goodrga01.html, /players/g/gregoga01.html, /players/j/johnsne02.html, /players/k/knowlro01.html, /players/l/lattida01.html, /players/m/mckenst01.html, /players/m/mclemmc01.html, /players/s/snydedi01.html, /players/v/vanardi01.html, /players/w/warlibo01.html, /players/w/wilsoge01.html"
"12","SDR","/players/a/adelmri01.html, /players/b/barneha01.html, /players/b/barneji02.html, /players/b/blockjo01.html, /players/f/finkeha01.html, /players/h/hayesel01.html, /players/k/kimbato01.html, /players/k/kojisdo01.html, /players/l/lantzst01.html, /players/r/rileypa01.html, /players/t/trappjo01.html, /players/w/williar01.html"
"13","SEA","/players/h/hairsal01.html, /players/h/harriar01.html, /players/k/kauffbo01.html, /players/k/kennejo01.html, /players/k/kronto01.html, /players/l/lottpl01.html, /players/m/meschto01.html, /players/m/mueller01.html, /players/m/murredo01.html, /players/r/rulebo01.html, /players/t/thornro01.html, /players/t/tresvjo01.html, /players/t/tuckeal01.html, /players/w/wilkele01.html"
"14","SFW","/players/a/allenbo01.html, /players/a/attleal01.html, /players/e/ellisjo01.html, /players/k/kingji01.html, /players/l/larusru01.html, /players/l/leecl01.html, /players/l/lewisbo01.html, /players/m/mullije01.html, /players/s/schluda01.html, /players/t/thurmna01.html, /players/t/turnebi01.html, /players/w/williro01.html"
